sector_std,month_start,y,sample_weight,tariff_count_sector_3m,tariff_count_sector_6m,tariff_count_sector_12m,months_since_last_tariff_sector,authority_count_12m_Section_232,authority_count_12m_IEEPA,gscpi,gscpi_3m_mean,month_of_year,months_since_start
Aerospace,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Aerospace,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Aerospace,2025-01-01,0,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Aerospace,2025-02-01,0,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Aerospace,2025-03-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.12,3,4
Aerospace,2025-04-01,1,1.0,0,0,0,36.0,0,0,-0.24,-0.13999999999999999,4,5
Aerospace,2025-05-01,1,1.0,1,1,1,0.0,1,0,0.28,-0.046666666666666655,5,6
Aerospace,2025-06-01,1,1.0,1,1,1,1.02,1,0,0.09,0.04333333333333334,6,7
Aerospace,2025-07-01,1,1.0,3,3,3,0.0,3,0,0.03,0.13333333333333333,7,8
Aerospace,2025-08-01,0,1.0,2,3,3,1.02,3,0,-0.08,0.013333333333333322,8,9
Aerospace,2025-09-01,0,1.0,2,3,3,2.04,3,0,-0.02,-0.023333333333333345,9,10
Aerospace,2025-10-01,0,1.0,0,3,3,3.02,3,0,-0.08,-0.06000000000000002,10,11
Aerospace,2025-11-01,0,1.0,0,2,3,4.04,3,0,-0.16,-0.08666666666666667,11,12
Agriculture,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Agriculture,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Agriculture,2025-01-01,0,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Agriculture,2025-02-01,0,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Agriculture,2025-03-01,0,1.0,0,0,0,36.0,0,0,-0.18,-0.12,3,4
Agriculture,2025-04-01,0,1.0,0,0,0,36.0,0,0,-0.24,-0.13999999999999999,4,5
Agriculture,2025-05-01,0,1.0,0,0,0,36.0,0,0,0.28,-0.046666666666666655,5,6
Agriculture,2025-06-01,0,1.0,0,0,0,36.0,0,0,0.09,0.04333333333333334,6,7
Agriculture,2025-07-01,0,1.0,0,0,0,36.0,0,0,0.03,0.13333333333333333,7,8
Agriculture,2025-08-01,0,1.0,0,0,0,36.0,0,0,-0.08,0.013333333333333322,8,9
Agriculture,2025-09-01,1,1.0,0,0,0,36.0,0,0,-0.02,-0.023333333333333345,9,10
Agriculture,2025-10-01,1,1.0,0,0,0,36.0,0,0,-0.08,-0.06000000000000002,10,11
Agriculture,2025-11-01,1,1.0,0,0,0,36.0,0,0,-0.16,-0.08666666666666667,11,12
Automotive,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Automotive,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Automotive,2025-01-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Automotive,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Automotive,2025-03-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.12,3,4
Automotive,2025-04-01,1,1.0,1,1,1,0.2,1,0,-0.24,-0.13999999999999999,4,5
Automotive,2025-05-01,1,1.0,1,1,1,1.18,1,0,0.28,-0.046666666666666655,5,6
Automotive,2025-06-01,1,1.0,1,1,1,2.2,1,0,0.09,0.04333333333333334,6,7
Automotive,2025-07-01,0,1.0,1,2,2,0.49,2,0,0.03,0.13333333333333333,7,8
Automotive,2025-08-01,0,1.0,1,2,2,1.51,2,0,-0.08,0.013333333333333322,8,9
Automotive,2025-09-01,0,1.0,1,2,2,2.53,2,0,-0.02,-0.023333333333333345,9,10
Automotive,2025-10-01,0,1.0,0,1,2,3.52,2,0,-0.08,-0.06000000000000002,10,11
Automotive,2025-11-01,0,1.0,0,1,2,4.53,2,0,-0.16,-0.08666666666666667,11,12
Energy,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Energy,2024-12-01,1,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Energy,2025-01-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Energy,2025-02-01,1,1.0,1,1,1,0.0,0,1,0.0,-0.14666666666666667,2,3
Energy,2025-03-01,0,1.0,1,1,1,0.92,0,1,-0.18,-0.12,3,4
Energy,2025-04-01,0,1.0,1,1,1,1.94,0,1,-0.24,-0.13999999999999999,4,5
Energy,2025-05-01,0,1.0,1,1,1,2.92,0,1,0.28,-0.046666666666666655,5,6
Energy,2025-06-01,1,1.0,0,1,1,3.94,0,1,0.09,0.04333333333333334,6,7
Energy,2025-07-01,1,1.0,0,1,1,4.93,0,1,0.03,0.13333333333333333,7,8
Energy,2025-08-01,1,1.0,0,1,1,5.95,0,1,-0.08,0.013333333333333322,8,9
Energy,2025-09-01,0,1.0,1,1,2,0.85,0,2,-0.02,-0.023333333333333345,9,10
Energy,2025-10-01,0,1.0,1,1,2,1.84,0,2,-0.08,-0.06000000000000002,10,11
Energy,2025-11-01,0,1.0,1,1,2,2.86,0,2,-0.16,-0.08666666666666667,11,12
Lumber,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Lumber,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Lumber,2025-01-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Lumber,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Lumber,2025-03-01,1,1.0,1,1,1,0.0,1,0,-0.18,-0.12,3,4
Lumber,2025-04-01,0,1.0,1,1,1,1.02,1,0,-0.24,-0.13999999999999999,4,5
Lumber,2025-05-01,0,1.0,1,1,1,2.0,1,0,0.28,-0.046666666666666655,5,6
Lumber,2025-06-01,0,1.0,0,1,1,3.02,1,0,0.09,0.04333333333333334,6,7
Lumber,2025-07-01,0,1.0,0,1,1,4.01,1,0,0.03,0.13333333333333333,7,8
Lumber,2025-08-01,0,1.0,0,1,1,5.03,1,0,-0.08,0.013333333333333322,8,9
Lumber,2025-09-01,0,1.0,0,0,1,6.04,1,0,-0.02,-0.023333333333333345,9,10
Lumber,2025-10-01,0,1.0,0,0,1,7.03,1,0,-0.08,-0.06000000000000002,10,11
Lumber,2025-11-01,0,1.0,0,0,1,8.05,1,0,-0.16,-0.08666666666666667,11,12
Maritime,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Maritime,2024-12-01,1,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Maritime,2025-01-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Maritime,2025-02-01,1,1.0,1,1,1,0.0,0,1,0.0,-0.14666666666666667,2,3
Maritime,2025-03-01,1,1.0,1,1,1,0.92,0,1,-0.18,-0.12,3,4
Maritime,2025-04-01,1,1.0,1,1,1,1.94,0,1,-0.24,-0.13999999999999999,4,5
Maritime,2025-05-01,1,1.0,1,1,1,2.92,0,1,0.28,-0.046666666666666655,5,6
Maritime,2025-06-01,1,1.0,1,2,2,0.66,0,2,0.09,0.04333333333333334,6,7
Maritime,2025-07-01,1,1.0,1,2,2,1.64,0,2,0.03,0.13333333333333333,7,8
Maritime,2025-08-01,0,1.0,2,3,3,0.07,0,3,-0.08,0.013333333333333322,8,9
Maritime,2025-09-01,0,1.0,1,2,3,1.08,0,3,-0.02,-0.023333333333333345,9,10
Maritime,2025-10-01,0,1.0,1,2,3,2.07,0,3,-0.08,-0.06000000000000002,10,11
Maritime,2025-11-01,0,1.0,0,2,3,3.09,0,3,-0.16,-0.08666666666666667,11,12
Metals,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Metals,2024-12-01,1,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Metals,2025-01-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Metals,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Metals,2025-03-01,0,1.0,1,1,1,0.13,1,0,-0.18,-0.12,3,4
Metals,2025-04-01,0,1.0,1,1,1,1.15,1,0,-0.24,-0.13999999999999999,4,5
Metals,2025-05-01,0,1.0,1,1,1,2.14,1,0,0.28,-0.046666666666666655,5,6
Metals,2025-06-01,0,1.0,0,1,1,3.15,1,0,0.09,0.04333333333333334,6,7
Metals,2025-07-01,0,1.0,0,1,1,4.14,1,0,0.03,0.13333333333333333,7,8
Metals,2025-08-01,0,1.0,0,1,1,5.16,1,0,-0.08,0.013333333333333322,8,9
Metals,2025-09-01,0,1.0,0,0,1,6.18,1,0,-0.02,-0.023333333333333345,9,10
Metals,2025-10-01,0,1.0,0,0,1,7.16,1,0,-0.08,-0.06000000000000002,10,11
Metals,2025-11-01,0,1.0,0,0,1,8.18,1,0,-0.16,-0.08666666666666667,11,12
Minerals,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Minerals,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Minerals,2025-01-01,0,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Minerals,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Minerals,2025-03-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.12,3,4
Minerals,2025-04-01,1,1.0,0,0,0,36.0,0,0,-0.24,-0.13999999999999999,4,5
Minerals,2025-05-01,0,1.0,1,1,1,0.53,1,0,0.28,-0.046666666666666655,5,6
Minerals,2025-06-01,0,1.0,1,1,1,1.54,1,0,0.09,0.04333333333333334,6,7
Minerals,2025-07-01,0,1.0,1,1,1,2.53,1,0,0.03,0.13333333333333333,7,8
Minerals,2025-08-01,0,1.0,0,1,1,3.55,1,0,-0.08,0.013333333333333322,8,9
Minerals,2025-09-01,0,1.0,0,1,1,4.57,1,0,-0.02,-0.023333333333333345,9,10
Minerals,2025-10-01,0,1.0,0,1,1,5.55,1,0,-0.08,-0.06000000000000002,10,11
Minerals,2025-11-01,0,1.0,0,0,1,6.57,1,0,-0.16,-0.08666666666666667,11,12
Pharmaceutical,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Pharmaceutical,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Pharmaceutical,2025-01-01,0,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Pharmaceutical,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Pharmaceutical,2025-03-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.12,3,4
Pharmaceutical,2025-04-01,1,1.0,1,1,1,0.0,1,0,-0.24,-0.13999999999999999,4,5
Pharmaceutical,2025-05-01,0,1.0,1,1,1,0.99,1,0,0.28,-0.046666666666666655,5,6
Pharmaceutical,2025-06-01,0,1.0,1,1,1,2.0,1,0,0.09,0.04333333333333334,6,7
Pharmaceutical,2025-07-01,0,1.0,1,1,1,2.99,1,0,0.03,0.13333333333333333,7,8
Pharmaceutical,2025-08-01,0,1.0,0,1,1,4.01,1,0,-0.08,0.013333333333333322,8,9
Pharmaceutical,2025-09-01,0,1.0,0,1,1,5.03,1,0,-0.02,-0.023333333333333345,9,10
Pharmaceutical,2025-10-01,0,1.0,0,0,1,6.01,1,0,-0.08,-0.06000000000000002,10,11
Pharmaceutical,2025-11-01,0,1.0,0,0,1,7.03,1,0,-0.16,-0.08666666666666667,11,12
Semiconductor,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Semiconductor,2024-12-01,0,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Semiconductor,2025-01-01,0,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Semiconductor,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Semiconductor,2025-03-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.12,3,4
Semiconductor,2025-04-01,1,1.0,1,1,1,0.0,1,0,-0.24,-0.13999999999999999,4,5
Semiconductor,2025-05-01,0,1.0,1,1,1,0.99,1,0,0.28,-0.046666666666666655,5,6
Semiconductor,2025-06-01,0,1.0,1,1,1,2.0,1,0,0.09,0.04333333333333334,6,7
Semiconductor,2025-07-01,0,1.0,1,1,1,2.99,1,0,0.03,0.13333333333333333,7,8
Semiconductor,2025-08-01,0,1.0,0,1,1,4.01,1,0,-0.08,0.013333333333333322,8,9
Semiconductor,2025-09-01,0,1.0,0,1,1,5.03,1,0,-0.02,-0.023333333333333345,9,10
Semiconductor,2025-10-01,0,1.0,0,0,1,6.01,1,0,-0.08,-0.06000000000000002,10,11
Semiconductor,2025-11-01,0,1.0,0,0,1,7.03,1,0,-0.16,-0.08666666666666667,11,12
Steel & Aluminum,2024-11-01,0,1.0,0,0,0,36.0,0,0,-0.28,-0.28,11,0
Steel & Aluminum,2024-12-01,1,1.0,0,0,0,36.0,0,0,-0.26,-0.27,12,1
Steel & Aluminum,2025-01-01,1,1.0,0,0,0,36.0,0,0,-0.18,-0.24,1,2
Steel & Aluminum,2025-02-01,1,1.0,0,0,0,36.0,0,0,0.0,-0.14666666666666667,2,3
Steel & Aluminum,2025-03-01,0,1.0,1,1,1,0.62,1,0,-0.18,-0.12,3,4
Steel & Aluminum,2025-04-01,0,1.0,1,1,1,1.64,1,0,-0.24,-0.13999999999999999,4,5
Steel & Aluminum,2025-05-01,0,1.0,1,1,1,2.63,1,0,0.28,-0.046666666666666655,5,6
Steel & Aluminum,2025-06-01,0,1.0,0,1,1,3.65,1,0,0.09,0.04333333333333334,6,7
Steel & Aluminum,2025-07-01,0,1.0,0,1,1,4.63,1,0,0.03,0.13333333333333333,7,8
Steel & Aluminum,2025-08-01,0,1.0,0,1,1,5.65,1,0,-0.08,0.013333333333333322,8,9
Steel & Aluminum,2025-09-01,0,1.0,0,0,1,6.67,1,0,-0.02,-0.023333333333333345,9,10
Steel & Aluminum,2025-10-01,0,1.0,0,0,1,7.65,1,0,-0.08,-0.06000000000000002,10,11
Steel & Aluminum,2025-11-01,0,1.0,0,0,1,8.67,1,0,-0.16,-0.08666666666666667,11,12
