date,sp500_baseline,sp500_impacted,nasdaq_baseline,nasdaq_impacted,dow_baseline,dow_impacted
2026-02-22,6912.4064,6951.0537,25024.2815,25236.4758,49645.1487,49913.6032
2026-02-23,6915.3043,6992.6312,25035.9493,25460.5357,49664.3361,50201.4526
2026-02-24,6918.2033,7034.2423,25047.6226,25684.7991,49683.5309,50489.517
2026-02-25,6921.1036,7075.8872,25059.3013,25909.266,49702.7331,50777.7966
2026-02-26,6924.0051,7117.5657,25070.9855,26133.9367,49721.9427,51066.2915
2026-02-27,6926.9078,7159.2779,25082.6751,26358.8113,49741.1598,51355.0018
2026-02-28,6929.8117,7201.0238,25094.3701,26583.8899,49760.3843,51643.9276
2026-03-01,6932.7169,7242.8035,25106.0706,26809.1727,49779.6162,51933.0691
2026-03-02,6935.6233,7284.6169,25117.7766,27034.6598,49798.8555,52222.4264
2026-03-03,6938.5308,7326.4641,25129.488,27260.3513,49818.1023,52511.9996
2026-03-04,6941.4396,7368.3451,25141.2048,27486.2474,49837.3565,52801.7888
2026-03-05,6944.3497,7410.26,25152.9272,27712.3482,49856.6182,53091.7942
2026-03-06,6947.2609,7452.2087,25164.655,27938.6539,49875.8873,53382.0159
2026-03-07,6950.1734,7494.1912,25176.3883,28165.1646,49895.1639,53672.454
2026-03-08,6953.0871,7536.2077,25188.127,28391.8804,49914.4479,53963.1086
2026-03-09,6956.002,7532.6733,25199.8712,28368.3403,49933.7393,53937.491
2026-03-10,6958.9181,7529.3542,25211.6209,28345.9782,49953.0383,53913.3698
2026-03-11,6961.8354,7526.2434,25223.3761,28324.7565,49972.3446,53890.6967
2026-03-12,6964.754,7523.3342,25235.1367,28304.6384,49991.6585,53869.4249
2026-03-13,6967.6738,7520.6202,25246.9029,28285.5883,50010.9798,53849.5095
2026-03-14,6970.5948,7518.095,25258.6745,28267.5721,50030.3085,53830.9065
2026-03-15,6973.5171,7515.7526,25270.4516,28250.5563,50049.6448,53813.5738
2026-03-16,6976.4405,7513.5871,25282.2342,28234.509,50068.9885,53797.4705
2026-03-17,6979.3652,7511.5928,25294.0223,28219.3989,50088.3397,53782.5569
2026-03-18,6982.2912,7509.7643,25305.8159,28205.196,50107.6983,53768.7948
2026-03-19,6985.2183,7508.0961,25317.615,28191.8711,50127.0645,53756.1471
2026-03-20,6988.1467,7506.5832,25329.4195,28179.3961,50146.4381,53744.5779
2026-03-21,6991.0763,7505.2206,25341.2296,28167.7436,50165.8192,53734.0526
2026-03-22,6994.0071,7504.0034,25353.0452,28156.8872,50185.2079,53724.5376
2026-03-23,6996.9392,7502.927,25364.8663,28146.8014,50204.604,53716.0003
2026-03-24,6999.8725,7501.9868,25376.693,28137.4615,50224.0076,53708.4094
2026-03-25,7002.807,7501.1786,25388.5251,28128.8436,50243.4187,53701.7345
2026-03-26,7005.7427,7500.498,25400.3628,28120.9245,50262.8373,53695.946
2026-03-27,7008.6797,7499.9409,25412.2059,28113.6818,50282.2634,53691.0157
2026-03-28,7011.6179,7499.5035,25424.0546,28107.0938,50301.697,53686.9158
2026-03-29,7014.5574,7499.1819,25435.9088,28101.1396,50321.1381,53683.6197
2026-03-30,7017.4981,7498.9723,25447.7686,28095.7989,50340.5868,53681.1017
2026-03-31,7020.44,7498.8713,25459.6339,28091.052,50360.0429,53679.3368
2026-04-01,7023.3831,7498.8752,25471.5047,28086.8799,50379.5066,53678.3008
2026-04-02,7026.3275,7498.9808,25483.381,28083.2643,50398.9778,53677.9703
2026-04-03,7029.2731,7499.1848,25495.2629,28080.1873,50418.4565,53678.3229
2026-04-04,7032.2199,7499.4841,25507.1503,28077.6317,50437.9428,53679.3365
2026-04-05,7035.168,7499.8757,25519.0433,28075.5809,50457.4366,53680.9901
2026-04-06,7038.1173,7500.3565,25530.9418,28074.0188,50476.9379,53683.2631
2026-04-07,7041.0679,7500.9237,25542.8458,28072.9296,50496.4467,53686.1357
2026-04-08,7044.0197,7501.5746,25554.7554,28072.2984,50515.9631,53689.5888
2026-04-09,7046.9727,7502.3066,25566.6706,28072.1106,50535.4871,53693.6038
2026-04-10,7049.927,7503.1169,25578.5913,28072.3519,50555.0186,53698.1628
2026-04-11,7052.8825,7504.0032,25590.5176,28073.0088,50574.5576,53703.2483
2026-04-12,7055.8392,7504.9631,25602.4494,28074.0679,50594.1042,53708.8436
2026-04-13,7058.7972,7505.9941,25614.3868,28075.5165,50613.6583,53714.9324
2026-04-14,7061.7564,7507.094,25626.3298,28077.3421,50633.22,53721.499
2026-04-15,7064.7169,7508.2607,25638.2783,28079.5328,50652.7893,53728.5282
2026-04-16,7067.6786,7509.4919,25650.2324,28082.077,50672.3661,53736.0052
2026-04-17,7070.6415,7510.7858,25662.1921,28084.9635,50691.9505,53743.9157
2026-04-18,7073.6057,7512.1402,25674.1573,28088.1813,50711.5424,53752.2461
2026-04-19,7076.5711,7513.5533,25686.1282,28091.7199,50731.142,53760.9829
2026-04-20,7079.5378,7515.0232,25698.1046,28095.5693,50750.7491,53770.1132
2026-04-21,7082.5057,7516.5481,25710.0866,28099.7195,50770.3638,53779.6245
2026-04-22,7085.4749,7518.1263,25722.0742,28104.1609,50789.986,53789.5048
2026-04-23,7088.4453,7519.7561,25734.0673,28108.8845,50809.6159,53799.7423
2026-04-24,7091.417,7521.4358,25746.0661,28113.8812,50829.2533,53810.3258
2026-04-25,7094.3899,7523.1639,25758.0705,28119.1425,50848.8983,53821.2443
2026-04-26,7097.364,7524.9389,25770.0804,28124.6599,50868.5509,53832.4871
2026-04-27,7100.3394,7526.7593,25782.096,28130.4254,50888.2112,53844.0441
2026-04-28,7103.316,7528.6236,25794.1171,28136.4312,50907.879,53855.9053
2026-04-29,7106.2939,7530.5305,25806.1439,28142.6697,50927.5544,53868.0611
2026-04-30,7109.273,7532.4787,25818.1763,28149.1335,50947.2374,53880.5023
2026-05-01,7112.2534,7534.4669,25830.2143,28155.8157,50966.928,53893.2198
2026-05-02,7115.2351,7536.4937,25842.2579,28162.7093,50986.6262,53906.205
2026-05-03,7118.2179,7538.558,25854.3071,28169.8076,51006.3321,53919.4494
2026-05-04,7121.2021,7540.6587,25866.3619,28177.1043,51026.0456,53932.9449
2026-05-05,7124.1875,7542.7945,25878.4223,28184.5932,51045.7666,53946.6837
2026-05-06,7127.1741,7544.9645,25890.4884,28192.2682,51065.4953,53960.6581
2026-05-07,7130.162,7547.1675,25902.5601,28200.1235,51085.2317,53974.8607
2026-05-08,7133.1511,7549.4024,25914.6374,28208.1536,51104.9756,53989.2844
2026-05-09,7136.1415,7551.6684,25926.7204,28216.3528,51124.7272,54003.9223
2026-05-10,7139.1332,7553.9645,25938.809,28224.7161,51144.4864,54018.7677
2026-05-11,7142.1261,7556.2897,25950.9032,28233.2382,51164.2533,54033.8142
2026-05-12,7145.1202,7558.6431,25963.0031,28241.9142,51184.0278,54049.0555
2026-05-13,7148.1156,7561.0239,25975.1086,28250.7394,51203.8099,54064.4855
2026-05-14,7151.1123,7563.4311,25987.2197,28259.7091,51223.5997,54080.0985
2026-05-15,7154.1102,7565.8641,25999.3365,28268.8189,51243.3971,54095.8887
2026-05-16,7157.1094,7568.322,26011.459,28278.0644,51263.2022,54111.8506
2026-05-17,7160.1098,7570.804,26023.5871,28287.4415,51283.015,54127.979
2026-05-18,7163.1115,7573.3095,26035.7209,28296.9461,51302.8354,54144.2688
2026-05-19,7166.1145,7575.8376,26047.8603,28306.5742,51322.6634,54160.7149
2026-05-20,7169.1187,7578.3877,26060.0053,28316.3221,51342.4991,54177.3125
2026-05-21,7172.1242,7580.9592,26072.1561,28326.1861,51362.3425,54194.0571
2026-05-22,7175.1309,7583.5513,26084.3125,28336.1626,51382.1936,54210.944
